title,price,description,city,brand,model,year,body_type,color,engine,mileage,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
"Land Rover Range Rover, 3.0 L, 2023 il, 12 500 km",194 000 USD,,Bakı,Land Rover,Range Rover,2023,"Offroader / SUV, 5 qapı",Qara,3.0 L / 400 a.g. / Benzin,12 500 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",,,
"Toyota Camry, 2.0 L, 2024 il, yeni",38 400 USD,,Bakı,Toyota,Camry,2024,Sedan,Ağ,2.0 L / 200 a.g. / Hibrid,0 km,Variator,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",5,1,Avropa
"Toyota Corolla, 1.6 L, 2020 il, 59 700 km",35 000 AZN,,Bakı,Toyota,Corolla,2020,Sedan,Qara,1.6 L / 124 a.g. / Benzin,59 700 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,0,Avropa
"XPeng G6, 2024 il, yeni",39 900 USD,,Bakı,XPeng,G6,2024,"Offroader / SUV, 5 qapı",Qara,476 a.g. / Elektro,0 km,Reduktor,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",,1,Avropa
"Chevrolet Equinox, 1.5 L, 2021 il, 205 000 km",22 500 AZN,,Gəncə,Chevrolet,Equinox,2021,"Offroader / SUV, 5 qapı",Gümüşü,1.5 L / 170 a.g. / Benzin,205 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,1,Amerika
"Jeep Wrangler, 2.0 L, 2021 il, 45 000 km",52 000 USD,,Bakı,Jeep,Wrangler,2021,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 272 a.g. / Plug-in Hibrid,45 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,2,Amerika
"Renault Tondar, 1.6 L, 2013 il, 323 000 km",6 300 AZN,,Neftçala,Renault,Tondar,2013,Sedan,Qara,1.6 L / 76 a.g. / Benzin,323 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",4,3,
"Mercedes E 300 4MATIC, 2.0 L, 2017 il, 70 000 km",34 500 USD,,Bakı,Mercedes,E 300 4MATIC,2017,Sedan,Göy,2.0 L / 245 a.g. / Benzin,70 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",4,1,
"Hyundai Sonata, 2.0 L, 2010 il, 270 000 km",18 500 AZN,,Bakı,Hyundai,Sonata,2010,Sedan,Boz,2.0 L / 165 a.g. / Benzin,270 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",4,2,Koreya
"Jeep Grand Cherokee, 2.0 L, 2022 il, 7 041 km",57 500 USD,,Bakı,Jeep,Grand Cherokee,2022,"Offroader / SUV, 5 qapı",Boz,2.0 L / 375 a.g. / Plug-in Hibrid,7 041 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,2,Amerika
"Kia Stinger, 2.0 L, 2018 il, 72 420 km",21 300 USD,,Bakı,Kia,Stinger,2018,Liftbek,Ağ,2.0 L / 247 a.g. / Benzin,72 420 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,2,Amerika
"Kia Sorento, 2.0 L, 2019 il, 147 000 km",44 300 AZN,,Bakı,Kia,Sorento,2019,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 184 a.g. / Dizel,147 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,1,Koreya
"Mercedes E 220, 2.2 L, 1994 il, 514 000 km",8 900 AZN,,Bakı,Mercedes,E 220,1994,Sedan,Gümüşü,2.2 L / 150 a.g. / Benzin,514 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",5,0,Avropa
"Land Rover Range Rover, 3.0 L, 2015 il, 166 700 km",37 900 USD,,Bakı,Land Rover,Range Rover,2015,"Offroader / SUV, 5 qapı",Ağ,3.0 L / 340 a.g. / Benzin,166 700 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,2,Amerika
"Mercedes C 300, 2.0 L, 2015 il, 125 000 km",24 500 USD,,Bakı,Mercedes,C 300,2015,Sedan,Boz,2.0 L / 245 a.g. / Benzin,125 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,,Amerika
"Ford Fusion (North America), 1.5 L, 2014 il, 120 000 km",18 000 AZN,,Bakı,Ford,Fusion (North America),2014,Sedan,Ağ,1.5 L / 181 a.g. / Benzin,120 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,1,Amerika
"Jeep Grand Cherokee, 3.6 L, 2014 il, 179 555 km",46 900 AZN,,Bakı,Jeep,Grand Cherokee,2014,"Offroader / SUV, 5 qapı",Qara,3.6 L / 286 a.g. / Benzin,179 555 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,,Avropa
"Kia Ceed, 1.6 L, 2008 il, 383 000 km",13 000 AZN,,Bakı,Kia,Ceed,2008,"Universal, 5 qapı",Boz,1.6 L / 115 a.g. / Dizel,383 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,2,Koreya
"Audi A4, 1.8 L, 2008 il, 316 000 km",13 000 AZN,,Bakı,Audi,A4,2008,Sedan,Ağ,1.8 L / 160 a.g. / Benzin,316 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5,,Avropa
"Subaru Impreza, 2.0 L, 2008 il, 365 400 km",9 000 AZN,,Xaçmaz,Subaru,Impreza,2008,"Hetçbek, 5 qapı",Boz,2.0 L / 150 a.g. / Benzin,365 400 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənib",4,2,Yaponiya
"Mercedes E 320, 3.0 L, 2007 il, 299 123 km",19 850 AZN,,Bakı,Mercedes,E 320,2007,Sedan,Qara,3.0 L / 224 a.g. / Dizel,299 123 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",,0,
"Ford Transit, 2.5 L, 1997 il, 570 000 km",24 000 AZN,,Bakı,Ford,Transit,1997,Yük maşını,Ağ,2.5 L / 76 a.g. / Dizel,570 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",3,1,Avropa
